114D2005     559S2002     34D2000      2000 2   16668  4.0 1    16804 36 4 3 3 1    16853  35 3 2 2 2 2005  5 136 185  . 2007  . 23  .  7
114S1997     3721         86D1994      1994 2   13745  6.0 1    13840 26 3 3 3 1    13947  44 3 3 3 1 1997  3  95 202  . 1999  . 24  .  5
114S1998     591D1997     112D1996     1996 2   14124  7.0 2    14204 31 4 3 4 1    14312  52 4 4 3 1 1998  2  80 188  .    .  .  .  .  .
114S2002     514D2001     19S2000      2000 2   15592  6.0 2    15671 32 3 3 3 1    15749  45 3 4 3 1 2002  2  79 157  . 2004  . 23  .  4
115D1997     563S1994     87S1991      1991 2   13745  5.5 1    13840 26 3 2 3 1    13947  44 3 3 3 2 1997  6  95 202  . 1999  . 25  .  8
115D1999     31           76S1996      1996 2   14481  4.7 2    14547 20 3 3 4 1    14660  57 3 3 3 2 1999  3  66 179  .    .  .  .  .  .
115D2000     522D1998     48S1993      1993 2   14843  6.5 1    14939 21 1 1 1 1    15001  34 2 2 2 2 2000  7  96 158  . 2001  . 12  .  8
115D2005     616D2004     34D2002      2002 2   16669  5.0 1    16804 30 3 3 3 1    16853  43 3 2 3 2 2005  3 135 184  . 2007  . 23  .  5
115S1998     581D1996     43D1991      1991 2   14125  7.0 2    14204 24 2 2 2 1    14312  39 2 2 2 1 1998  7  79 187  . 2000  . 24  .  9
116D1997     563S1994     87S1991      1991 2   13745  5.3 1    13840 24 2 2 2 1    13947  42 3 3 3 2 1997  6  95 202  . 1999  . 24  .  8
116D1998     3721         20D1996      1996 2   14126  4.7 2    14204 25 2 2 2 1    14312  50 3 3 3 2 1998  2  78 186  .    .  .  .  .  .
116D2000     572D1996     83D1996      1996 2   14843  5.3 1    14939 37 3 3 3 1    15001  47 4 4 4 2 2000  4  96 158  . 2002  . 24  .  6
116D2002     563D2000     147D1999     1999 2   15593  6.0 2    15671 30 2 2 2 1    15749  44 3 4 3 2 2002  3  78 156  . 2004  . 23  .  5
116D2003     514D2001     11D2001      2001 2   15937  6.0 1    16001 19 2 2 2 1    16116  30 1 1 1 2 2003  2  64 179  .    .  .  .  .  .
116D2004     559S2002     104T2002     2002 2   16301  6.0 1    16409 30 3 3 3 1    16485  34 2 2 2 2 2004  2 108 184  . 2006  . 24  .  4
116D2006     507S2003     21S2000      2000 2   17060  6.0 1    17127 19 1 1 1 1    17197  20 1 1 1 2 2006  6  67 137  .    .  .  .  .  .
116S1996     543D1995     27D1994      1994 2   13371  6.0 1    13461 34 3 3 3 1    13573  42 2 2 2 1 1996  2  90 202  . 1999  . 37  .  5
117D1996     553T1995     75D1993      1993 2   13371  5.5 1    13461 26 2 2 3 1    13573  39 3 3 3 2 1996  3  90 202  . 1998  . 24  .  5
117D1998     3721         20D1996      1996 2   14126  3.7 4    14204 12 1 1 1 1    14312  35 2 2 2 2 1998  2  78 186  . 2001  . 35  .  5
117D2000     572D1996     83D1996      1996 2   14843  5.2 1    14939 37 3 3 3 1    15001  45 3 4 4 2 2000  4  96 158  . 2002  . 24  .  6
117D2002     540D2000     53D1996      1996 2   15594  5.0 2    15671 29 2 2 2 1    15749  40 3 4 3 2 2002  6  77 155  .    .  .  .  .  .
117S1999     31           116S1996     1996 2   14483  5.1 1    14547 25 3 3 3 1    14660  48 2 3 2 1 1999  3  64 177  .    .  .  .  .  .
117S2004     507S2003     94S1998      1998 2   16301  8.0 1    16409 40 3 3 3 1    16485  46 3 3 2 1 2004  6 108 184  .    .  .  .  .  .
117S2005     558T2004     129D2003     2003 2   16669  5.5 1    16804 38 3 3 3 1    16853  53 4 3 5 1 2005  2 135 184  . 2007  . 24  .  4
117S2006     602D2005     148T2004     2004 2   17060  3.0 1    17127 17 1 1 1 1    17197  25 3 2 2 1 2006  2  67 137  .    .  .  .  .  .
118D1996     4035         52D1988      1988 2   13371  6.0 1    13461 27 1 1 2 1    13573  46 4 3 3 2 1996  8  90 202  . 1998  . 24  . 10
118D1998     572D1996     110D1996     1996 2   14126  4.5 4    14204 25 2 2 2 1    14312  49 3 3 3 2 1998  2  78 186  . 2000  . 23  .  4
118D1999     536S1997     41D1993      1993 2   14484  6.0 1    14547 19 2 3 3 1    14660  51 3 3 3 2 1999  6  63 176  .    .  .  .  .  .
118D2004     444          27D1999      1999 2   16302  6.0 1    16409 26 2 2 2 1    16485  37 2 2 1 2 2004  5 107 183  . 2006  . 24  .  7
118S2000     524D1998     43D1991      1991 2   14843  7.1 1    14939 40 3 4 3 1    15001  46 3 4 3 1 2000  9  96 158  . 2001  . 12  . 10
118S2003     616S2001     125S2001     2001 2   15938  5.5 3    16048 31 3 3 3 1    16116  43 3 3 4 1 2003  2 110 178  .    .  .  .  .  .
119D1996     92-035       781990       1990 2   13371  5.5 1    13461 22 1 1 1 1    13573  32 2 2 2 2 1996  6  90 202  .    .  .  .  .  .
119D1997     4397         31D1995      1995 2   13746  4.0 1    13840 23 3 2 3 1    13947  44 4 4 3 2 1997  2  94 201  . 1999  . 23  .  4
119D1999     31           12T1995      1995 2   14485  6.0 1    14547 17 1 1 1 1    14660  42 2 2 2 2 1999  4  62 175  .    .  .  .  .  .
119D2000     524D1998     69S1997      1997 2   14843  4.2 2    14939 35 3 3 3 1    15001  43 3 3 3 2 2000  3  96 158  .    .  .  .  .  .
119D2002     540D2000     38S1997      1997 2   15595  6.0 2    15671 23 1 1 1 1    15749  26 1 1 1 2 2002  5  76 154  .    .  .  .  .  .
119T2001     595D1997     54D1997      1997 2   15218  3.5 3    15306 40 4 4 4 1    15383  54 4 4 4 3 2001  4  88 165  . 2003  . 23  .  6
11D1993      92-035       41S1991      1991 2   12250  3.6 1    12367 31 4 3 3 1    12472  34 3 3 3 2 1993  2 117 222  . 1996  . 37  .  5
11D1994      554S1993     32D1992      1992 2   12636  3.8 1    12719 33 3 4 3 1    12822  56 4 4 4 2 1994  2  83 186  .    .  .  .  .  .
11D1995      527D1993     22D1992      1992 2   13001  4.8 1    13095 34 4 5 5 1    13207  58 4 5 5 2 1995  3  94 206  .    .  .  .  .  .
11D2000      567S1999     21D1997      1997 2   14831  6.5 1    14939 40 3 4 4 1    15001  35 2 2 2 2 2000  3 108 170  . 2002  . 24  .  5
11D2001      605D2000     19T1998      1998 2   15197  3.7 1    15306 40 4 5 4 1    15383  57 4 5 4 2 2001  3 109 186  . 2003  . 24  .  5
11D2003      514D2001     6D1999       1999 2   15921  4.8 1    16001 33 4 4 4 1    16116  59 4 5 5 2 2003  4  80 195  . 2006  . 37  .  7
11S1992      102Y         42S1987      1987 2   11889  5.6 1    12066 47 5 5 4 1    12129  55 4 4 4 1 1992  5 177 240  .    .  .  .  .  .
11S1998      524T1996     53S1994      1994 2   14090  6.8 1    14204 44 4 4 4 1    14312  61 4 5 3 1 1998  4 114 222  . 2000  . 25  .  6
11S2005      539D2004     158S2003     2003 2   16656  4.0 1    16804 47 5 5 4 1    16853  58 5 5 5 1 2005  2 148 197  . 2007  . 24  .  4
11S2007      572S2006     83S2005      2005 2   17361  3.0 1    17477 33 4 4 3 1    17539  42 3 3 4 1 2007  2 116 178  .    .  .  .  .  .
11T1997      4397         62D1992      1992 2   13728  3.8 1    13840 28 3 4 3 1    13947  46 4 4 4 3 1997  5 112 219  .    .  .  .  .  .
11T1999      572D1996     38D1994      1994 2   14454  3.5 1    14526 21 3 3 3 1    14660  55 3 3 3 3 1999  5  72 206  .    .  .  .  .  .
11T2004      502S2002     62D2001      2001 2   16285  5.0 1    16409 40 3 3 3 1    16485  41 3 3 2 3 2004  3 124 200  . 2007  . 36  .  6
